hscode,description,net_wt_kg,assess_value_bdt
34023100,Anionic organic surface-active ageLinear alkylbenzene sulphonic acids and their salts,120000,19081045
34023990,Other than Chips of Sodium Isethionate,15600,2554352
34024100,"Other organic surface-active agents, whether or not put up for retail sale :, Cationi",64830,23609313
34024290,"Other organic surface-active agents, whether or not put up for retail sale :, Non-ion",324070,72061868
34024910,"Other organic surface-active agents, NES",23170,10065067
34024990,"Other organic surface-active agents, NES",7180,2916895
34025000,Preparations put up for retail sale,4000,1447354
34029010,Detergents,623210,192076190
34029020,Cleaning preparation for steel industries,13191,4478324
34029090,Washing & Cleaning Preparations (Excl. Detergents),2420610,788136207
34031100,Lub.Preparations For Treatement Of Tex.Leather Etc With=<70% Petroleum Oil,151374,59974714
34031900,"Other Lubricating Preparations, With =<70% Petroleum Oil, Nes",74505,32686069
34039100,"Lub.Preparations For Treatement Of Tex. Leather Etc, Nes",316474,82704731
34039910,Compressor oil,166,923206
34039930,Synthetic lubricating Oil,3120,1113311
34039990,"Other Lubricating Preparations, Nes",22720,22383098
34042000,Artificial Waxes Of Polyethylene Glycol,40000,7186693
34049010,Other Waxes,2005,567898
34049090,"Artificial Waxes And Prepared Waxes, Nes",83215,17729998
34051000,"Polishes, Creams And Similar Preparations For Footwear Or Leather",37984,8769422
34053000,Polishes And Similar Preparations For Coachwork (Excl. Metal Polishes),4865,954883
34054000,Scouring Pastes And Powders And Other Scouring Preparations,12680,11172263
34059010,Polishes and other preparations used in the finishing (including electroplating) of met,34655,18925821
34059090,"Other polishes, creams and similar preparations, nes",1610,1048083
35011000,Casein,1440,391237
35051000,Dextrin and other modified starches,2020476,197871379
35052000,"Glues Based On Starches, Dextrins Or Other Modified Starches",176757,39202748
35061000,"Products Put Up As Glues Or Adhesives For Retail Sale, =<1kg",4493,4873493
35069110,Adhesives Based On Rubber Or Plastic (Incl. Artificial Resins),36720,20144724
35069190,Adhesives Based On Rubber Or Plastic (Incl. Artificial Resins),991235,293756054
35069900,Stripping chemical,128762,49696617
35071000,Rennet And Concentrates Thereof,7525,3242941
35079010,Streptokinase,5200,918782
35079090,Other than Streptokinase,684062,258815811
37012000,"Instant Print Flat Film, Unexposed",36,484307
37013000,,23595,34394058
37024400,"Photo Film, In Rolls, Non-Perforated, Width >105mm But =<610mm",246,1217160
37040000,"PHOTOGRAPHIC PLATES, FILM, PAPER, PAPERBOARD AND TEXTILES, EXPOSED BUT NOT DEVELOPED",1,1975
37050000,"Photographic plates and film, exposed and developed, other than cinematographic film",282,1903096
37071000,Sensitising emulsions,1829,2157752
37079000,"OTH.CHEMICAL PREPARATIONS FOR PHOTOGRAPHIC USES..,EXCL.SENSITISING EMULSIONS",2935,1782873
38021000,Activated Carbon,22680,6262071
38061090,Rosin And Rasin Asids,900,736362
38069010,"Derivatives of rosin and resin acids,...Rosin size",17240,6030311
38085200,Goods specified in Subheading Note 1 to this Chapter,728,3166581
38089129,"Insecticides, rodenticides... and similar products, for retail sale, nes",1200,7736993
38089220,Fungicides Chromatade copper arsenate,250,216562
38089291,"Fungicides, NES In bulk",6460,9034262
38089299,"Fungicides, NES Cxcl.in bulk",168,561908
38091000,"Finishing Agents, Etc, With A Basis Of Amylaceous Substances Nes",7833,3380332
38099100,Finishing Agents Etc. Of A Kind Used In The Textile Or Like Industries Nes,5824775,1872309344
38099300,Finishing Agents Etc. Of A Kind Used In The Leather Or Like Industries Nes,119395,47839196
38101000,Pickling Preparations For Metal Surfaces;Soldering..Powders&Pastes..Mater.,9470,9019481
38109090,Pickling preparations for metal surface.... Excl. Submerge welding flux for LPG,970,5356843
38111900,Anti-Knock Preparations (Excl. Based On Lead),50,78188
38119000,"OTHER PREPARATIONS, EXCL.ANTI-KNOCK PREPARATIONS, ADDITIVES FOR LUBRICATING OILS",1117,1416609
38121000,Prepared Rubber Accelerators,30900,13067347
38122000,"Compound Plasticisers For Rubber Or Plastics, Nes",27868,5992636
38123910,Other,9200,2144115
38123990,Other,11250,4331860
38140010,Organic composite solvent,42542,17994847
38140090,"Organic Composite Solvents And Thinners, Nes; Paint Or Varnish Removers",190329,52355163
38151100,Supportedcatalysts With Nickel Or Its Compounds,490,445615
38159000,"Reaction Initiators, Accelerators And Catalytic Preparations, Nes",8583,3052131
